Facility Type,Loc Id,ADO,State Id,County,County State,City,Name,Ownership,Use,ARP Latitude,ARP Latitude Sec,ARP Longitude,ARP Longitude Sec,Elevation,Magnetic Variation,Sectional,Tie In FSS Id,Tie In FSS Name,FSS Toll Free Number,Fuel Types,ATCT,UNICOM,CTAF,ICAO Id
AIRPORT,MOP,DET,MI,ISABELLA,MI,MOUNT PLEASANT,MOUNT PLEASANT MUNI,PU,PU,043-37-17.9000N,157037.9000N,084-44-14.3000W,0305054.3000W,754.7,05W,DETROIT,LAN,LANSING,1-800-WX-BRIEF,100LL A+,N,123.000,123.000,KMOP
AIRPORT,MOR,MEM,TN,HAMBLEN,TN,MORRISTOWN,MOORE-MURRELL,PU,PU,036-10-45.8000N,130245.8000N,083-22-31.6000W,0300151.6000W,1313.1,04W,CINCINNATI,BNA,NASHVILLE,1-800-WX-BRIEF,100LL A,N,122.800,122.800,KMOR
AIRPORT,MOT,DMA,ND,WARD,ND,MINOT,MINOT INTL,PU,PU,048-15-27.5000N,173727.5000N,101-16-40.9000W,0364600.9000W,1715.7,06E,BILLINGS,GFK,GRAND FORKS,1-800-WX-BRIEF,100LL A,Y,122.950,118.200,KMOT
AIRPORT,MOX,DMA,MN,STEVENS,MN,MORRIS,MORRIS MUNI/CHARLIE SCHMIDT FLD,PU,PU,045-33-57.5800N,164037.5840N,095-58-01.9000W,0345481.8960W,1135.9,02E,TWIN CITIES,PNM,PRINCETON,1-800-WX-BRIEF,100LL A,N,122.800,122.800,KMOX
AIRPORT,MPE,JAN,MS,NESHOBA,MS,PHILADELPHIA,PHILADELPHIA MUNI,PU,PU,032-47-57.1600N,118077.1633N,089-07-33.5900W,0320853.5899W,458.2,01E,MEMPHIS,GWO,GREENWOOD,1-800-WX-BRIEF,100LL A,N,123.000,123.000,KMPE
AIRPORT,MPG,BKW,WV,MARSHALL,WV,MOUNDSVILLE,MARSHALL COUNTY,PU,PU,039-52-51.0000N,143571.0000N,080-44-08.8000W,0290648.8000W,1214.6,08W,CINCINNATI,EKN,ELKINS,1-800-WX-BRIEF,100LL,N,122.700,122.700,KMPG
AIRPORT,MPI,SFO,CA,MARIPOSA,CA,MARIPOSA,MARIPOSA-YOSEMITE,PU,PU,037-30-39.1000N,135039.1000N,120-02-22.3000W,0432142.3000W,2254.2,15E,SAN FRANCISCO,RIU,RANCHO MURIETA,1-800-WX-BRIEF,100LL A,N,122.700,122.700,KMPI
AIRPORT,MPJ,AOK,AR,CONWAY,AR,MORRILTON,PETIT JEAN PARK,PU,PU,035-08-19.8000N,126499.8000N,092-54-33.1000W,0334473.1000W,923,03E,MEMPHIS,JBR,JONESBORO,1-800-WX-BRIEF,100LL A,N,,122.900,KMPJ
AIRPORT,MPO,HAR,PA,MONROE,PA,MOUNT POCONO,POCONO MOUNTAINS RGNL,PU,PU,041-08-15.7000N,148095.7000N,075-22-48.2000W,0271368.2000W,1915.2,13W,NEW YORK,IPT,WILLIAMSPORT,1-800-WX-BRIEF,100LL A,N,122.700,122.700,KMPO
AIRPORT,MPR,NONE,KS,MC PHERSON,KS,MC PHERSON,MC PHERSON,PU,PU,038-21-08.6200N,138068.6170N,097-41-28.6700W,0351688.6740W,1498.3,06E,WICHITA,ICT,WICHITA,1-800-WX-BRIEF,100LL A MOGAS,N,122.800,122.800,KMPR
AIRPORT,MPV,NONE,VT,WASHINGTON,VT,BARRE/MONTPELIER,EDWARD F KNAPP STATE,PU,PU,044-12-12.5600N,159132.5610N,072-33-43.5500W,0261223.5470W,1165.6,16W,MONTREAL,BTV,BURLINGTON,1-800-WX-BRIEF,100LL A+,N,122.800,122.800,KMPV
AIRPORT,MPZ,NONE,IA,HENRY,IA,MOUNT PLEASANT,MOUNT PLEASANT MUNI,PU,PU,040-56-47.8000N,147407.8040N,091-30-40.2100W,0329440.2140W,730.6,00W,CHICAGO,FOD,FORT DODGE,1-800-WX-BRIEF,100LL A,N,123.050,123.050,KMPZ
AIRPORT,MQB,CHI,IL,MC DONOUGH,IL,MACOMB,MACOMB MUNI,PU,PU,040-31-12.3000N,145872.3000N,090-39-08.6000W,0326348.6000W,705.7,01E,CHICAGO,IKK,KANKAKEE,1-800-WX-BRIEF,100LL A,N,122.800,122.800,KMQB
AIRPORT,MQI,MEM,NC,DARE,NC,MANTEO,DARE COUNTY RGNL,PU,PU,035-55-08.3400N,129308.3376N,075-41-43.9300W,0272503.9287W,13,09W,CHARLOTTE,RDU,RALEIGH,1-800-WX-BRIEF,100LL A1+,N,122.800,122.800,KMQI
AIRPORT,MQJ,CHI,IN,HANCOCK,IN,INDIANAPOLIS,INDIANAPOLIS RGNL,PU,PU,039-50-35.3000N,143435.2960N,085-53-51.8500W,0309231.8480W,862.3,02W,ST LOUIS,HUF,TERRE HAUTE,1-800-WX-BRIEF,100LL A A+,N,122.975,122.975,KMQJ
AIRPORT,MQS,HAR,PA,CHESTER,PA,COATESVILLE,CHESTER COUNTY G O CARLSON,PU,PU,039-58-44.3000N,143924.3000N,075-51-55.7000W,0273115.7000W,660.2,11W,WASHINGTON,IPT,WILLIAMSPORT,1-800-WX-BRIEF,100LL A,N,122.700,122.700,KMQS
AIRPORT,MQW,ATL,GA,WHEELER,GA,MC RAE,TELFAIR-WHEELER,PU,PU,032-05-49.1900N,115549.1870N,082-52-45.8800W,0298365.8820W,202.1,03W,ATLANTA,MCN,MACON,1-800-WX-BRIEF,100LL A+,N,,122.900,KMQW
AIRPORT,MQY,MEM,TN,RUTHERFORD,TN,SMYRNA,SMYRNA,PU,PU,036-00-32.2900N,129632.2930N,086-31-12.3200W,0311472.3230W,543,02W,ATLANTA,BNA,NASHVILLE,1-800-WX-BRIEF,100LL A,Y,122.950,118.500,KMQY
AIRPORT,MRB,BKW,WV,BERKELEY,WV,MARTINSBURG,EASTERN WV RGNL/SHEPHERD FLD,PU,PU,039-24-08.4800N,141848.4845N,077-58-58.8000W,0280738.7967W,564.8,08W,WASHINGTON,DCA,LEESBURG,1-800-WX-BRIEF,100LL A A++,Y,122.950,124.300,KMRB
AIRPORT,MRC,MEM,TN,MAURY,TN,COLUMBIA/MOUNT PLEASANT,MAURY COUNTY RGNL,PU,PU,035-33-15.6200N,127995.6190N,087-10-44.9000W,0313844.9040W,681.3,01W,ATLANTA,MKL,JACKSON,1-800-WX-BRIEF,100LL A+,N,122.800,122.800,KMRC
AIRPORT,MRF,TEX,TX,PRESIDIO,TX,MARFA,MARFA MUNI,PU,PU,030-22-16.0000N,109336.0000N,104-01-03.1000W,0374463.1000W,4848.8,08E,EL PASO,SJT,SAN ANGELO,1-800-WX-BRIEF,100LL A,N,122.800,122.800,KMRF
AIRPORT,MRH,MEM,NC,CARTERET,NC,BEAUFORT,MICHAEL J SMITH FLD,PU,PU,034-44-01.5300N,125041.5310N,076-39-37.2800W,0275977.2770W,10.1,08W,CHARLOTTE,RDU,RALEIGH,1-800-WX-BRIEF,100LL A1+,N,122.800,122.800,KMRH
AIRPORT,MRJ,CHI,WI,IOWA,WI,MINERAL POINT,IOWA COUNTY,PU,PU,042-53-12.7700N,154392.7680N,090-14-12.0000W,0324851.9970W,1170.7,00W,CHICAGO,GRB,GREEN BAY,1-800-WX-BRIEF,100LL A+,N,122.800,122.800,KMRJ
AIRPORT,MRN,MEM,NC,CALDWELL,NC,MORGANTON,FOOTHILLS RGNL,PU,PU,035-49-12.8000N,128952.8000N,081-36-41.1000W,0293801.1000W,1269.9,07W,CHARLOTTE,RDU,RALEIGH,1-800-WX-BRIEF,100LL A1+,N,122.700,122.700,KMRN
AIRPORT,MRT,DET,OH,UNION,OH,MARYSVILLE,UNION COUNTY,PU,PU,040-13-28.2000N,144808.1990N,083-21-05.8800W,0300065.8790W,1020.7,05W,DETROIT,DAY,DAYTON,1-800-WX-BRIEF,100LL A1 A1+,N,122.800,122.800,KMRT
AIRPORT,MRY,SFO,CA,MONTEREY,CA,MONTEREY,MONTEREY RGNL,PU,PU,036-35-13.0300N,131713.0280N,121-50-34.0200W,0438634.0190W,256.6,15E,SAN FRANCISCO,OAK,OAKLAND,1-800-WX-BRIEF,100LL A,Y,122.950,118.400,KMRY
AIRPORT,MSL,JAN,AL,COLBERT,AL,MUSCLE SHOALS,NORTHWEST ALABAMA RGNL,PU,PU,034-44-43.1000N,125083.1000N,087-36-36.8000W,0315396.8000W,550.5,03W,ATLANTA,ANB,ANNISTON,1-800-WX-BRIEF,100LL A,N,123.050,123.050,KMSL
AIRPORT,MSN,CHI,WI,DANE,WI,MADISON,DANE COUNTY RGNL/TRUAX FLD,PU,PU,043-08-23.5600N,155303.5649N,089-20-15.0200W,0321615.0161W,886.6,03W,CHICAGO,GRB,GREEN BAY,1-800-WX-BRIEF,100LL A,Y,122.950,119.300,KMSN
AIRPORT,MSO,HLN,MT,MISSOULA,MT,MISSOULA,MISSOULA MONTANA,PU,PU,046-54-58.7000N,168898.7000N,114-05-26.0000W,0410726.0000W,3205.6,13E,GREAT FALLS,GTF,GREAT FALLS,1-800-WX-BRIEF,100LL A1+,Y,122.950,118.400,KMSO
AIRPORT,MSP,DMA,MN,HENNEPIN,MN,MINNEAPOLIS,MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN,PU,PU,044-52-55.1000N,161575.1000N,093-13-18.4000W,0335598.4000W,841.8,00E,TWIN CITIES,PNM,PRINCETON,1-800-WX-BRIEF,100LL A A++,Y,122.950,,KMSP
AIRPORT,MSS,NYC,NY,ST LAWRENCE,NY,MASSENA,MASSENA INTL-RICHARDS FLD,PU,PU,044-56-10.4700N,161770.4680N,074-50-42.4300W,0269442.4310W,221.4,14W,MONTREAL,BTV,BURLINGTON,1-800-WX-BRIEF,100LL A,N,123.000,123.000,KMSS
